Id_de_sentencia,IdSentenciado,SentidoSentencia,Sexo,Edad
26141,149980926,Condenatoria,Hombre,32
13145,149997828,Condenatoria,Hombre,28
3338,150037884,Condenatoria,Hombre,27
21551,150038247,Condenatoria,Mujer,45
26149,150044606,Condenatoria,Hombre,27
23635,150046159,Condenatoria,Hombre,27
8102,150057596,Condenatoria,Hombre,42
2402,150062888,Condenatoria,Hombre,33
18067,150068049,Condenatoria,Hombre,73
16842,150075319,Condenatoria,Hombre,24
8005,150076650,Condenatoria,Hombre,36
22180,150076717,Condenatoria,Hombre,25
15563,150083565,Condenatoria,Hombre,35
6874,150117229,Condenatoria,Hombre,45
24701,150136090,Condenatoria,Hombre,57
17426,150178986,Condenatoria,Hombre,42
17426,150178988,Condenatoria,Hombre,35
6104,150186596,Condenatoria,Hombre,35
26501,150186600,Condenatoria,Hombre,28
19388,150217428,Condenatoria,Hombre,41
3581,150238602,Condenatoria,Hombre,52
16329,150252609,Condenatoria,Hombre,29
875,150269403,Condenatoria,Hombre,38
5865,150285701,Condenatoria,Hombre,54
5865,150285708,Condenatoria,Hombre,55
4619,150297493,Condenatoria,Hombre,37
2381,150306977,Condenatoria,Hombre,25
21819,150312569,Condenatoria,Hombre,32
16823,150314546,Condenatoria,Hombre,65
8467,150320881,Condenatoria,Hombre,47
26151,150322723,Condenatoria,Hombre,36
6871,150323876,Condenatoria,Hombre,39
6871,150323883,Condenatoria,Hombre,32
30288,150328284,Condenatoria,Hombre,42
3630,150340875,Condenatoria,Hombre,35
2380,150375445,Condenatoria,Hombre,33
3091,150410258,Condenatoria,Hombre,41
17022,150445250,Condenatoria,Hombre,34
3099,150474722,Condenatoria,Hombre,38
6861,150566256,Condenatoria,Hombre,46
6861,150566268,Condenatoria,Mujer,40
29778,150672806,Condenatoria,Hombre,36
20883,150689659,Condenatoria,Mujer,49
23712,150735479,Condenatoria,Hombre,29
30306,150738119,Condenatoria,Hombre,49
3693,150751096,Condenatoria,Mujer,52
3875,150761598,Condenatoria,Hombre,23
5424,150779772,Condenatoria,Hombre,26
5430,150779950,Condenatoria,Hombre,28
5450,150780686,Condenatoria,Mujer,56
2378,150781132,Condenatoria,Hombre,22
2886,150781368,Condenatoria,Hombre,40
