IdVictima,GeneroDelito,TipoDelito
21688,Narcóticos,CPF Art. 195 P. 1
25494,Narcóticos,CPF Art. 195 P. 1
13254,Narcóticos,CPF Art. 195 P. 1
15926,Narcóticos,CPF Art. 195 P. 1
685,Narcóticos,CPF Art. 195 P. 1
11919,Narcóticos,CPF Art. 195 P. 1
7690,Narcóticos,CPF Art. 195 P. 1
12801,Narcóticos,CPF Art. 195 P. 1
14539,Narcóticos,CPF Art. 195 P. 1
9457,Narcóticos,CPF Art. 195 P. 1
9468,Narcóticos,CPF Art. 195 P. 1
14213,Narcóticos,CPF Art. 195 P. 1
10562,Narcóticos,CPF Art. 195 P. 1
9483,Narcóticos,CPF Art. 195 P. 1
13874,Narcóticos,CPF Art. 195 P. 1
8199,Narcóticos,CPF Art. 195 P. 1
11761,Narcóticos,CPF Art. 195 P. 1
8677,Narcóticos,CPF Art. 195 P. 1
4312,Narcóticos,CPF Art. 195 P. 1
4313,Narcóticos,CPF Art. 195 P. 1
14385,Narcóticos,CPF Art. 195 P. 1
17458,Narcóticos,CPF Art. 195 P. 1
17270,Narcóticos,CPF Art. 195 P. 1
15045,Narcóticos,CPF Art. 195 P. 1
14761,Narcóticos,CPF Art. 195 P. 1
7810,Narcóticos,CPF Art. 195 P. 1
7796,Narcóticos,CPF Art. 195 P. 1
18044,Narcóticos,CPF Art. 195 P. 1
18052,Narcóticos,CPF Art. 195 P. 1
17147,Narcóticos,CPF Art. 195 P. 1
1540,Narcóticos,CPF Art. 195 P. 1
21395,Narcóticos,CPF Art. 195 P. 1
12322,Narcóticos,CPF Art. 195 P. 1
9551,Narcóticos,CPF Art. 195 P. 1
9553,Narcóticos,CPF Art. 195 P. 1
22850,Narcóticos,CPF Art. 195 P. 1
18115,Narcóticos,CPF Art. 195 P. 1
9492,Narcóticos,CPF Art. 195 P. 1
16358,Narcóticos,CPF Art. 195 P. 1
14393,Narcóticos,CPF Art. 195 P. 1
26518,Narcóticos,CPF Art. 195 P. 1
8219,Narcóticos,CPF Art. 195 P. 1
25919,Narcóticos,CPF Art. 195 P. 1
14467,Narcóticos,CPF Art. 195 P. 1
2144,Narcóticos,CPF Art. 195 P. 1
13049,Narcóticos,CPF Art. 195 P. 1
13052,Narcóticos,CPF Art. 195 P. 1
8222,Narcóticos,CPF Art. 195 P. 1
3601,Narcóticos,CPF Art. 195 P. 1
11000,Narcóticos,CPF Art. 195 P. 1
12258,Narcóticos,CPF Art. 195 P. 1
8225,Narcóticos,CPF Art. 195 P. 1
6884,Narcóticos,CPF Art. 195 P. 1
26521,Narcóticos,CPF Art. 195 P. 1
12094,Narcóticos,CPF Art. 195 P. 1
26523,Narcóticos,CPF Art. 195 P. 1
14341,Narcóticos,CPF Art. 195 P. 1
17756,Narcóticos,CPF Art. 195 P. 1
1536,Narcóticos,CPF Art. 195 P. 1
8272,Narcóticos,CPF Art. 195 P. 1
24078,Narcóticos,CPF Art. 195 P. 1
13233,Narcóticos,CPF Art. 195 P. 1
20360,Narcóticos,CPF Art. 195 P. 1
11126,Narcóticos,CPF Art. 195 P. 1
4303,Narcóticos,CPF Art. 195 P. 1
16798,Narcóticos,CPF Art. 195 P. 1
24028,Narcóticos,CPF Art. 195 P. 1
20035,Narcóticos,CPF Art. 195 P. 1
15574,Narcóticos,CPF Art. 195 P. 1
14271,Narcóticos,CPF Art. 195 P. 1
26650,Narcóticos,CPF Art. 195 P. 1
20609,Narcóticos,CPF Art. 195 P. 1
25976,Narcóticos,CPF Art. 195 P. 1
30014,Narcóticos,CPF Art. 195 P. 1
30051,Narcóticos,CPF Art. 195 P. 1
14801,Narcóticos,CPF Art. 195 P. 1
6083,Narcóticos,CPF Art. 195 P. 1
8137,Narcóticos,CPF Art. 195 P. 1
5101,Narcóticos,CPF Art. 195 P. 1
24050,Narcóticos,CPF Art. 195 P. 1
30054,Narcóticos,CPF Art. 195 P. 1
14901,Narcóticos,CPF Art. 195 P. 1
26524,Narcóticos,CPF Art. 195 P. 1
6081,Narcóticos,CPF Art. 195 P. 1
17793,Narcóticos,CPF Art. 195 P. 1
7539,Narcóticos,CPF Art. 195 P. 1
9862,Narcóticos,CPF Art. 195 P. 1
9473,Narcóticos,CPF Art. 195 P. 1
14476,Narcóticos,CPF Art. 195 P. 1
1698,Narcóticos,CPF Art. 195 P. 1
1298,Narcóticos,CPF Art. 195 P. 1
13643,Narcóticos,CPF Art. 195 P. 1
11282,Narcóticos,CPF Art. 195 P. 1
24087,Narcóticos,CPF Art. 195 P. 1
3792,Narcóticos,CPF Art. 195 P. 1
28790,Narcóticos,CPF Art. 195 P. 1
201,Narcóticos,CPF Art. 195 P. 1
14796,Narcóticos,CPF Art. 195 P. 1
14841,Narcóticos,CPF Art. 195 P. 1
18254,Narcóticos,CPF Art. 195 P. 1
19695,Narcóticos,CPF Art. 195 P. 1
14374,Narcóticos,CPF Art. 195 P. 1
28821,Narcóticos,CPF Art. 195 P. 1
15634,Narcóticos,CPF Art. 195 P. 1
14363,Narcóticos,CPF Art. 195 P. 1
4643,Narcóticos,CPF Art. 195 P. 1
7550,Narcóticos,CPF Art. 195 P. 1
15563,Narcóticos,CPF Art. 195 P. 1
26459,Narcóticos,CPF Art. 195 P. 1
6891,Narcóticos,CPF Art. 195 P. 1
6647,Narcóticos,CPF Art. 195 P. 1
21382,Narcóticos,CPF Art. 195 P. 1
21383,Narcóticos,CPF Art. 195 P. 1
9400,Narcóticos,CPF Art. 195 P. 1
12454,Narcóticos,CPF Art. 195 P. 1
1481,Narcóticos,CPF Art. 195 P. 1
4588,Narcóticos,CPF Art. 195 P. 1
15651,Narcóticos,CPF Art. 195 P. 1
7518,Narcóticos,CPF Art. 195 P. 1
16784,Narcóticos,CPF Art. 195 P. 1
1511,Narcóticos,CPF Art. 195 P. 1
11120,Narcóticos,CPF Art. 195 P. 1
5674,Narcóticos,CPF Art. 195 P. 1
711,Narcóticos,CPF Art. 195 P. 1
20379,Narcóticos,CPF Art. 195 P. 1
10,Narcóticos,CPF Art. 195 P. 1
25721,Narcóticos,CPF Art. 195 P. 1
945,Narcóticos,CPF Art. 195 P. 1
947,Narcóticos,CPF Art. 195 P. 1
8983,Narcóticos,CPF Art. 195 P. 1
12860,Narcóticos,CPF Art. 195 P. 1
16131,Narcóticos,CPF Art. 195 P. 1
14896,Narcóticos,CPF Art. 195 P. 1
25724,Narcóticos,CPF Art. 195 P. 1
9324,Narcóticos,CPF Art. 195 P. 1
25536,Narcóticos,CPF Art. 195 P. 1
922,Narcóticos,CPF Art. 195 P. 1
26061,Narcóticos,CPF Art. 195 P. 1
1274,Narcóticos,CPF Art. 195 P. 1
16181,Narcóticos,CPF Art. 195 P. 1
7759,Narcóticos,CPF Art. 195 P. 1
13690,Narcóticos,CPF Art. 195 P. 1
22902,Narcóticos,CPF Art. 195 P. 1
11975,Narcóticos,CPF Art. 195 P. 1
5380,Narcóticos,CPF Art. 195 P. 1
1501,Narcóticos,CPF Art. 195 P. 1
18187,Narcóticos,CPF Art. 195 P. 1
12500,Narcóticos,CPF Art. 195 P. 1
12069,Narcóticos,CPF Art. 195 P. 1
4147,Narcóticos,CPF Art. 195 P. 1
11077,Narcóticos,CPF Art. 195 P. 1
1444,Narcóticos,CPF Art. 195 P. 1
22908,Narcóticos,CPF Art. 195 P. 1
15220,Narcóticos,CPF Art. 195 P. 1
25524,Narcóticos,CPF Art. 195 P. 1
16306,Narcóticos,CPF Art. 195 P. 1
4385,Narcóticos,CPF Art. 195 P. 1
26691,Narcóticos,CPF Art. 195 P. 1
1874,Narcóticos,CPF Art. 195 P. 1
4916,Narcóticos,CPF Art. 195 P. 1
13403,Narcóticos,CPF Art. 195 P. 1
16265,Narcóticos,CPF Art. 195 P. 1
16313,Narcóticos,CPF Art. 195 P. 1
1335,Narcóticos,CPF Art. 195 P. 1
11115,Narcóticos,CPF Art. 195 P. 1
26384,Narcóticos,CPF Art. 195 P. 1
11069,Narcóticos,CPF Art. 195 P. 1
9971,Narcóticos,CPF Art. 195 P. 1
12503,Narcóticos,CPF Art. 195 P. 1
14703,Narcóticos,CPF Art. 195 P. 1
14879,Narcóticos,CPF Art. 195 P. 1
14723,Narcóticos,CPF Art. 195 P. 1
8531,Narcóticos,CPF Art. 195 P. 1
7135,Narcóticos,CPF Art. 195 P. 1
16317,Narcóticos,CPF Art. 195 P. 1
19746,Narcóticos,CPF Art. 195 P. 1
20438,Narcóticos,CPF Art. 195 P. 1
8533,Narcóticos,CPF Art. 195 P. 1
